time,event,info
2026-01-23 14:24:54.139420+05:30,ENGINE_START,
2026-01-23 14:29:46.376995+05:30,ENGINE_START,
2026-01-23 14:35:02.168264+05:30,ENGINE_START,
2026-01-23 14:39:12.459734+05:30,ENGINE_START,
2026-01-23 14:42:14.325404+05:30,ENGINE_START,
2026-01-23 14:44:29.497192+05:30,ENGINE_START,
2026-01-23 14:49:15.093060+05:30,ENGINE_START,
2026-01-23 14:50:08.124830+05:30,ENGINE_START,
2026-01-23 14:52:15.499432+05:30,ENGINE_START,
2026-01-23 14:52:55.404663+05:30,ENGINE_START,
2026-01-23 15:00:07.723151+05:30,CE_SIGNAL,
2026-01-23 15:00:07.723943+05:30,CE_ENTRY,259.55
2026-01-23 15:03:07.054075+05:30,ENGINE_START,
2026-01-23 15:03:32.208440+05:30,ENGINE_START,
2026-01-23 15:05:10.415738+05:30,ENGINE_START,
2026-01-23 15:06:28.969323+05:30,ENGINE_START,
2026-01-23 15:07:26.758142+05:30,ENGINE_START,
2026-01-23 15:08:33.837124+05:30,ENGINE_START,
2026-01-23 15:10:09.699124+05:30,CE_SIGNAL,
2026-01-23 15:10:09.699924+05:30,CE_ENTRY,214.25
2026-01-24 11:38:10.659245+05:30,ENGINE_START,
2026-01-24 11:42:38.876084+05:30,ENGINE_START,
2026-01-24 11:43:35.187097+05:30,ENGINE_START,
2026-01-24 11:43:55.572798+05:30,ENGINE_START,
2026-01-24 11:44:19.688840+05:30,ENGINE_START,
2026-01-24 11:49:12.133865+05:30,ENGINE_START,
2026-01-24 11:49:46.683165+05:30,ENGINE_START,
2026-01-24 11:50:32.985779+05:30,ENGINE_START,
2026-01-24 21:29:29.383814+05:30,ENGINE_START,
2026-01-24 21:29:48.436652+05:30,ENGINE_STOP,
2026-01-24 21:31:52.458496+05:30,ENGINE_START,
2026-01-24 21:32:07.431190+05:30,ENGINE_STOP,
2026-01-24 21:34:35.536533+05:30,ENGINE_START,
2026-01-24 21:34:50.499386+05:30,ENGINE_STOP,
2026-01-24 21:37:19.265714+05:30,ENGINE_START,
2026-01-24 21:37:33.665451+05:30,ENGINE_STOP,
2026-01-24 21:39:35.743613+05:30,ENGINE_START,
2026-01-24 21:39:50.048908+05:30,ENGINE_STOP,
2026-01-24 21:42:34.448440+05:30,ENGINE_START,
2026-01-24 21:42:50.417795+05:30,ENGINE_STOP,
2026-01-24 22:03:12.908415+05:30,ENGINE_START,
2026-01-24 22:03:30.679626+05:30,ENGINE_STOP,
2026-01-25 13:29:29.218111+05:30,ENGINE_START,
2026-01-25 13:30:24.026651+05:30,ENGINE_START,
2026-01-25 20:38:35.927478+05:30,ENGINE_START,
2026-01-25 20:38:49.559118+05:30,ENGINE_STOP,
2026-01-25 20:39:15.234413+05:30,ENGINE_START,
2026-01-25 20:39:27.942610+05:30,ENGINE_STOP,
2026-01-25 20:40:44.607524+05:30,ENGINE_START,
2026-01-25 20:47:00.067855+05:30,ENGINE_START,
2026-01-25 20:56:42.738438+05:30,ENGINE_START,
2026-01-25 20:59:50.094562+05:30,ENGINE_START,
2026-01-25 21:26:11.735810+05:30,ENGINE_START,
2026-01-25 21:30:43.315349+05:30,ENGINE_START,
2026-01-25 21:31:48.732749+05:30,ENGINE_START,
2026-01-25 21:55:30.983539+05:30,ENGINE_START,
2026-01-25 21:59:30.395620+05:30,ENGINE_START,
2026-01-25 22:02:04.785237+05:30,ENGINE_START,
2026-01-25 22:08:46.867620+05:30,ENGINE_START,
2026-01-25 22:09:30.935527+05:30,ENGINE_START,
2026-01-26 13:11:03.834219+05:30,ENGINE_START,
2026-01-26 18:20:51.065622+05:30,ENGINE_START,
2026-01-26 18:26:28.901079+05:30,ENGINE_START,
2026-01-26 18:28:24.856975+05:30,ENGINE_START,
2026-01-26 18:32:07.181625+05:30,ENGINE_START,
2026-01-26 18:33:43.376128+05:30,ENGINE_START,
2026-01-26 18:35:12.369424+05:30,ENGINE_START,
2026-01-26 21:06:06.123589+05:30,ENGINE_START,
2026-01-26 21:10:19.714009+05:30,ENGINE_START,
2026-01-26 21:12:05.296262+05:30,CE_SIGNAL,
2026-01-26 21:21:01.881414+05:30,ENGINE_START,
2026-01-26 21:24:24.433786+05:30,ENGINE_START,
